Table S2. Results of qPCR and sequencing analysis,,,,,,,,,,,,,,,,,,
VSP,WFID, Lab ID #,County Location,Region,Cause of death,Date of collection,Sample type,Gender,Age,Species,N1 Ct,N2 Ct,Xeno Ct,Variant,Lineage,Whole Genome Sequenced?,Nested PCR Sequenced?,GenBank
,WF22-0000454,105,Westmoreland,SWR,Road Kill,10/14/2021,PBS Swab 454,M,Yearling,WTD,Undetermined,Undetermined,33.88,,,,,
,WF22-0000455,106,Allegheny,SWR,Hunter Harvested,1/19/2021,PBS Swab 455,F,Adult,WTD,Undetermined,Undetermined,33.66,,,,,
,WF22-0000456,107,Allegheny,SWR,Road Kill,1/19/2021,PBS Swab 456,M,Yearling,WTD,Undetermined,Undetermined,33.45,,,,,
,WF22-0000457,108,Allegheny,SWR,Road Kill,1/12/2022,PBS Swab 457,M,Adult,WTD,Undetermined,Undetermined,33.23,,,,,
,WF22-0000589,109,Huntingdon,SCR,Unknown,3/3/2022,PBS Swab 589,F,Adult,WTD,Undetermined,Undetermined,33.54,,,,,
,WF22-0000540,110,Perry,SCR,Road Kill,Unknown,PBS Swab 540,M,Fawn,WTD,Undetermined,Undetermined,34.44,,,,,
,WF22-0000539,111,Perry,SCR,Road Kill,Unknown,PBS Swab 539,M,Yearling,WTD,Undetermined,Undetermined,34.12,,,,,
,WF22-0000529,112,Venango,NWR,Unknown,2/21/2022,PBS Swab 529,M,Yearling,WTD,Undetermined,Undetermined,33.90,,,,,
VSP3617,WF22-000528,113,Venango,NWR,Road Kill,2/11/2022,PBS Swab 528,F,Adult,WTD,35.46,37.98,33.65,,,,,
,WF22-0000527,114,Butler,NWR,Unknown,2/11/2022,PBS Swab 527,M,Adult,WTD,Undetermined,Undetermined,33.66,,,,,
,WF22-0000495,115,Juniata,SCR,Unknown,2/2/2022,PBS Swab 495,M,Fawn,WTD,Undetermined,Undetermined,33.15,,,,,
,WF22-0000643,116,Susquehanna,NER,Road Kill,2/24/2022,PBS Swab 643,F,Yearling,WTD,Undetermined,Undetermined,33.39,,,,,
,WF22-0000642,117,Luzerne,NER,Road Kill,2/16/2022,PBS Swab 642,M,Yearling,WTD,Undetermined,Undetermined,39.95,,,,,
,WF22-0000595,118,Huntingdon,SCR,Unknown,2/25/2022,PBS Swab 595,M,Fawn,WTD,Undetermined,Undetermined,33.62,,,,,
VSP3618,WF22-000593,119,Huntingdon,SCR,Hunter Harvested,1/5/2021,PBS Swab 593,F,Adult,WTD,36.96,40.00,33.77,,,,,
,WF22-0000592,120,York,SCR,Hunter Harvested,1/5/2022,PBS Swab 592,F,Yearling,WTD,Undetermined,Undetermined,33.83,,,,,
,WF22-0000591,121,York,SCR,Hunter Harvested,1/10/2022,PBS Swab 591,F,Adult,WTD,Undetermined,Undetermined,33.55,,,,,
,WF22-0000590,122,York,SCR,Hunter Harvested,1/10/2022,PBS Swab 590,F,Adult,WTD,Undetermined,Undetermined,33.77,,,,,
,WF22-0000644,123,Luzerne,NER,Road Kill,2/22/2022,PBS Swab 644,M,Adult,WTD,Undetermined,Undetermined,34.18,,,,,
